actor_id,character_name,cast_order,movie_id
126,Ketwol / Melas (uncredited),101,11
127,Stormtrooper (uncredited),102,11
127,Astronaut,21,62
127,"Butler, Blayden",33,708
127,Menno,19,849
128,Mos Eisley Citizen (special edition) (uncredited),103,11
129,Cantina Patron (uncredited),104,11
129,Gypsy (uncredited),30,657
129,Man in the Crowd (uncredited),91,783
129,Injured Man (uncredited),52,1955
130,Rebel Pilot (uncredited),105,11
131,Marlin (voice),0,12
131,Russ Cargill (voice),16,35
131,Tom,6,103
131,Richard Ripley,4,1389
132,Dory (voice),1,12
133,Nemo (voice),2,12
133,Kid (voice),15,9975
134,Gill (voice),3,12
134,Captain Darius,4,388
134,David Caravaggio,2,409
134,Klaus Daimler,3,421
134,The Electrician,11,549
134,Norman Osborn / Green Goblin,1,557
134,Norman Osborn / Green Goblin,9,558
134,Norman Osborn / Green Goblin,15,559
134,Sergeant Elias Grodin,2,792
134,Carson Clay,3,1268
134,Det. Donald Kimball,1,1359
134,Barillo,8,1428
134,John Geiger,2,1639
134,Gas,3,1946
134,Grace's Father,3,1951
134,Le cow-boy (Place des Victoires),2,2266
134,Roland Sweet,11,2567
134,Charlie,13,2604
134,Paul Smecker,0,8374
134,Chief of Staff,3,9310
134,John Clark,1,9331
134,Rat (voice),7,10315
134,Max Schreck,1,10873
134,,21,10935
134,Jesus,0,11051
135,Bloat (voice),4,12
135,Easter Island Head (voice),19,1593
135,Auguste Gusteau (voice),6,2062
135,Fatso (voice),6,8839
135,Dim (voice),14,9487
135,Vice Principal Dwayne Murney,7,10022
136,Peach (voice),5,12
136,Barbara Fitts,8,14
136,Sally Lester,16,590
136,Prudy Pringleton,10,2976
136,Ms. Perky,10,4951
136,Marjorie,5,6068
136,Bren MacGuff,5,7326
136,Gladys (voice),7,7518
136,Loretta,5,10490
137,Gurgle (voice),6,12
137,Thomas King,9,453
137,Lt. Col. Moodus,15,10364
137,John Gibbons,7,10377
138,Bubbles (voice),7,12
138,Mr. Lund,22,134
138,Police Sgt.,6,251
138,Rhino / Start (voice),9,425
138,Aardvark Dad (voice),19,950
138,Milton Waddams,5,1542
138,Dennis Mansky - Head of NorthAm Robotics,13,2277
138,Berg,11,4105
138,Suds,4,4942
138,Coontz,13,5550
138,Man who hires Wells,8,6977
138,Gordon,6,9472
