genre_id,movie_id
11,1427
8,1427
2,1427
4,1428
8,1429
2,1429
18,1430
8,1435
18,1435
8,1440
9,1440
8,1443
9,1443
3,1452
11,1452
4,1452
5,1452
11,1487
4,1487
5,1487
11,1491
8,1491
12,1491
9,1491
4,1493
1,1493
2,1493
3,1495
8,1495
4,1495
16,1495
13,1495
3,1497
4,1497
1,1497
5,1497
7,1497
3,1499
11,1499
4,1499
1,1499
5,1499
7,1499
8,1523
4,1535
12,1535
2,1535
3,1537
4,1537
12,1537
2,1537
8,1538
12,1538
2,1538
1,1542
2,1542
17,1547
1,1547
8,1551
17,1551
12,1551
5,1551
8,1555
1,1555
9,1555
17,1562
12,1562
5,1562
4,1571
12,1571
4,1572
12,1572
4,1573
12,1573
8,1574
4,1574
1,1574
2,1574
10,1574
17,1576
4,1576
5,1576
17,1577
4,1577
5,1577
8,1578
3,1579
8,1579
4,1579
12,1579
1,1581
9,1581
1,1584
10,1584
11,1585
8,1585
7,1585
12,1586
15,1586
8,1587
9,1587
1,1588
3,1593
11,1593
4,1593
1,1593
7,1593
1,1597
9,1597
12,1598
2,1598
4,1613
1,1613
12,1613
2,1613
8,1619
4,1619
12,1619
2,1619
8,1620
4,1620
12,1620
2,1620
1,1621
1,1624
3,1635
4,1635
12,1635
5,1635
11,1636
1,1636
9,1636
3,1637
4,1637
2,1637
3,1639
4,1639
12,1639
8,1640
8,1642
4,1642
12,1642
2,1642
15,1642
8,1645
12,1645
2,1645
8,1646
2,1646
3,1648
1,1648
5,1648
3,1656
4,1656
18,1667
7,1667
3,1669
4,1669
12,1669
8,1677
10,1677
17,1683
3,1685
5,1685
15,1685
4,1687
5,1687
4,1688
5,1688
17,1690
17,1691
4,1701
12,1701
2,1701
4,1705
5,1705
8,1717
12,1717
8,1722
16,1722
9,1722
3,1724
4,1724
5,1724
8,1725
2,1725
10,1725
3,1726
4,1726
5,1726
3,1729
11,1729
4,1729
3,1734
11,1734
4,1734
3,1735
11,1735
4,1735
8,1770
12,1770
3,1771
4,1771
5,1771
18,1777
16,1779
18,1779
18,1781
8,1788
10,1788
9,1788
7,1788
1,1792
8,1813
17,1813
12,1813
15,1813
