movie_id,language_name,language_role
8363,English,Spoken
8367,English,Spoken
8373,English,Spoken
8374,English,Spoken
8386,English,Spoken
8408,English,Spoken
8409,English,Spoken
8413,English,Spoken
8427,English,Spoken
8452,English,Spoken
8456,English,Spoken
8461,English,Spoken
8467,English,Spoken
8469,English,Spoken
8470,English,Spoken
8487,English,Spoken
8488,English,Spoken
8489,English,Spoken
8536,English,Spoken
8584,English,Spoken
8587,English,Spoken
8592,English,Spoken
8618,English,Spoken
8619,English,Spoken
8643,English,Spoken
8645,English,Spoken
8656,English,Spoken
8665,English,Spoken
8676,English,Spoken
8681,English,Spoken
8688,English,Spoken
8698,English,Spoken
8699,English,Spoken
8741,English,Spoken
8780,English,Spoken
8810,English,Spoken
8814,English,Spoken
8818,English,Spoken
8831,English,Spoken
8834,English,Spoken
8835,English,Spoken
8836,English,Spoken
8839,English,Spoken
8840,English,Spoken
8842,English,Spoken
8843,English,Spoken
8848,English,Spoken
8849,English,Spoken
8850,English,Spoken
8854,English,Spoken
8859,English,Spoken
8870,English,Spoken
8871,English,Spoken
8872,English,Spoken
8874,English,Spoken
8885,English,Spoken
8909,English,Spoken
8913,English,Spoken
8914,English,Spoken
8916,English,Spoken
8920,English,Spoken
8922,English,Spoken
8944,English,Spoken
8952,English,Spoken
8960,English,Spoken
8961,English,Spoken
8963,English,Spoken
8966,English,Spoken
8967,English,Spoken
8968,English,Spoken
8970,English,Spoken
8975,English,Spoken
8976,English,Spoken
8978,English,Spoken
8984,English,Spoken
8988,English,Spoken
8998,English,Spoken
8999,English,Spoken
9003,English,Spoken
9007,English,Spoken
9008,English,Spoken
9009,English,Spoken
9012,English,Spoken
9013,English,Spoken
9016,English,Spoken
9021,English,Spoken
9023,English,Spoken
9029,English,Spoken
9030,English,Spoken
9032,English,Spoken
9036,English,Spoken
9042,English,Spoken
9053,English,Spoken
9067,English,Spoken
9072,English,Spoken
9075,English,Spoken
9087,English,Spoken
9093,English,Spoken
9095,English,Spoken
9100,English,Spoken
9208,English,Spoken
9257,English,Spoken
9266,English,Spoken
9268,English,Spoken
9271,English,Spoken
9273,English,Spoken
9276,English,Spoken
9277,English,Spoken
9279,English,Spoken
9280,English,Spoken
9281,English,Spoken
9285,English,Spoken
9286,English,Spoken
9289,English,Spoken
9290,English,Spoken
9291,English,Spoken
9292,English,Spoken
9294,English,Spoken
9297,English,Spoken
9303,English,Spoken
9306,English,Spoken
9310,English,Spoken
9312,English,Spoken
9315,English,Spoken
9327,English,Spoken
9331,English,Spoken
9334,English,Spoken
9335,English,Spoken
9336,English,Spoken
9339,English,Spoken
9341,English,Spoken
9342,English,Spoken
9344,English,Spoken
9348,English,Spoken
9350,English,Spoken
9352,English,Spoken
9353,English,Spoken
9355,English,Spoken
9357,English,Spoken
9358,English,Spoken
9360,English,Spoken
9361,English,Spoken
9362,English,Spoken
9366,English,Spoken
9372,English,Spoken
9374,English,Spoken
9381,English,Spoken
9383,English,Spoken
9384,English,Spoken
9387,English,Spoken
9388,English,Spoken
9389,English,Spoken
9390,English,Spoken
9398,English,Spoken
9400,English,Spoken
9408,English,Spoken
9414,English,Spoken
9422,English,Spoken
9424,English,Spoken
9425,English,Spoken
9427,English,Spoken
9428,English,Spoken
9429,English,Spoken
9430,English,Spoken
9437,English,Spoken
9443,English,Spoken
9444,English,Spoken
9447,English,Spoken
9448,English,Spoken
9452,English,Spoken
9454,English,Spoken
9455,English,Spoken
9457,English,Spoken
9459,English,Spoken
9464,English,Spoken
9469,English,Spoken
9471,English,Spoken
9472,English,Spoken
9476,English,Spoken
9481,English,Spoken
9486,English,Spoken
9487,English,Spoken
9488,English,Spoken
9489,English,Spoken
9490,English,Spoken
9493,English,Spoken
9495,English,Spoken
9502,English,Spoken
9504,English,Spoken
9509,English,Spoken
9515,English,Spoken
9516,English,Spoken
9531,English,Spoken
9532,English,Spoken
9533,English,Spoken
9535,English,Spoken
9541,English,Spoken
9543,English,Spoken
9544,English,Spoken
9548,English,Spoken
9549,English,Spoken
9552,English,Spoken
9557,English,Spoken
9562,English,Spoken
9563,English,Spoken
9566,English,Spoken
9567,English,Spoken
9570,English,Spoken
9571,English,Spoken
9573,English,Spoken
9574,English,Spoken
9576,English,Spoken
9582,English,Spoken
9593,English,Spoken
9594,English,Spoken
9598,English,Spoken
9600,English,Spoken
9607,English,Spoken
9610,English,Spoken
9614,English,Spoken
9615,English,Spoken
9616,English,Spoken
9618,English,Spoken
9619,English,Spoken
9620,English,Spoken
9621,English,Spoken
9624,English,Spoken
9626,English,Spoken
9631,English,Spoken
9637,English,Spoken
9641,English,Spoken
9645,English,Spoken
9654,English,Spoken
9655,English,Spoken
9656,English,Spoken
9659,English,Spoken
9664,English,Spoken
9665,English,Spoken
9667,English,Spoken
9671,English,Spoken
9672,English,Spoken
9675,English,Spoken
9676,English,Spoken
9679,English,Spoken
9682,English,Spoken
9685,English,Spoken
9691,English,Spoken
9693,English,Spoken
9697,English,Spoken
9700,English,Spoken
9701,English,Spoken
9703,English,Spoken
9705,English,Spoken
9718,English,Spoken
9725,English,Spoken
9726,English,Spoken
9728,English,Spoken
9730,English,Spoken
9731,English,Spoken
9737,English,Spoken
9741,English,Spoken
9746,English,Spoken
9754,English,Spoken
9759,English,Spoken
9760,English,Spoken
9762,English,Spoken
9763,English,Spoken
9766,English,Spoken
9767,English,Spoken
9770,English,Spoken
9772,English,Spoken
9778,English,Spoken
9779,English,Spoken
9781,English,Spoken
9787,English,Spoken
9792,English,Spoken
9794,English,Spoken
9798,English,Spoken
9799,English,Spoken
9800,English,Spoken
9801,English,Spoken
9802,English,Spoken
9804,English,Spoken
9806,English,Spoken
9809,English,Spoken
9813,English,Spoken
9816,English,Spoken
9823,English,Spoken
9824,English,Spoken
9825,English,Spoken
9826,English,Spoken
9829,English,Spoken
9833,English,Spoken
9836,English,Spoken
9837,English,Spoken
9842,English,Spoken
9849,English,Spoken
9869,English,Spoken
9870,English,Spoken
9877,English,Spoken
9879,English,Spoken
9880,English,Spoken
9882,English,Spoken
9884,English,Spoken
9889,English,Spoken
9890,English,Spoken
9894,English,Spoken
9895,English,Spoken
9896,English,Spoken
9899,English,Spoken
9902,English,Spoken
9903,English,Spoken
9906,English,Spoken
9907,English,Spoken
9913,English,Spoken
9919,English,Spoken
9920,English,Spoken
9922,English,Spoken
9923,English,Spoken
9928,English,Spoken
9932,English,Spoken
9942,English,Spoken
9944,English,Spoken
9946,English,Spoken
9947,English,Spoken
9950,English,Spoken
9952,English,Spoken
9954,English,Spoken
9962,English,Spoken
9963,English,Spoken
9975,English,Spoken
9978,English,Spoken
9981,English,Spoken
9982,English,Spoken
9986,English,Spoken
9988,English,Spoken
9989,English,Spoken
9992,English,Spoken
10003,English,Spoken
10012,English,Spoken
10013,English,Spoken
10014,English,Spoken
10016,English,Spoken
10017,English,Spoken
10022,English,Spoken
10024,English,Spoken
10025,English,Spoken
10027,English,Spoken
10028,English,Spoken
10029,English,Spoken
10030,English,Spoken
10047,English,Spoken
10048,English,Spoken
10052,English,Spoken
10053,English,Spoken
10054,English,Spoken
10060,English,Spoken
10061,English,Spoken
10065,English,Spoken
10066,English,Spoken
10067,English,Spoken
10068,English,Spoken
10069,English,Spoken
10072,English,Spoken
10073,English,Spoken
10077,English,Spoken
10090,English,Spoken
10092,English,Spoken
10096,English,Spoken
10117,English,Spoken
10131,English,Spoken
10132,English,Spoken
10135,English,Spoken
